isbn,series,language,publisher,price,title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
9780679720225.00,,English,Vintage,4.3,The Fall,,Albert Camus,Fiction,1956,4.05,147,50175
9781842430224.00,,English,No Exit Press,0.88,Still Life with Woodpecker,,Tom Robbins,Fiction,2001,4.04,288,60966
9781590385814.00,Fablehaven #1,English,Shadow Mountain,6.04,Fablehaven,,Brandon Mull,Juvenile Fiction,2006,4.09,351,111896
9780375727276.00,,English,Vintage,2.82,Lunar Park,,Bret Easton Ellis,Fiction,2006,3.62,404,19185
9781579126278.00,Hercule Poirot #4,English,Black Dog & Leventhal Publishers,7.24,The Murder of Roger Ackroyd,A Hercule Poirot Mystery,Agatha Christie,Fiction,1926,4.23,288,93453
9781903436578.00,,English,Bloomsbury Arden Shakespeare,5.28,Shakespeare's Sonnets,Third Series,William Shakespeare,Drama,1997,4.25,488,67122
9780553381535.00,,English,Dial Press,5.26,Beach Music,,Pat Conroy,Fiction,2002,4.15,592,37413
9780061150142.00,,English,Avon,3.19,The Pact,A Love Story,Jodi Picoult,Fiction,2006,4.01,512,237587
9780452286030.00,Otherworld #1,English,Plume Books,2.86,Bitten,,Kelley Armstrong,Fiction,2004,4.05,436,77935
9780451210852.00,The Dark Tower #2,English,Signet,4.71,The Drawing of the Three,,Stephen King,Fiction,2003,4.23,463,163647
9780752865331.00,,English,Orion,0.85,The Maltese Falcon,,Dashiell Hammett,Crime investigations,2005,3.91,213,66425
9781862301382.00,Redwall #1,English,Red Fox,3.71,Redwall,,Brian Jacques,Animals,2006,4.13,352,84503
9781400034208.00,,English,Vintage International,5.26,The Razor's Edge,,W. Somerset Maugham,Fiction,2003,4.19,314,28339
9780385339698.00,,English,Delta,4.5,The Runaway Jury,,John Grisham,Fiction,2006,3.97,358,239779
9780679732266.00,,English,Vintage,3.39,Light in August,,William Faulkner,Fiction,1985,3.94,507,46181
9780446696111.00,,English,Grand Central Publishing,3.24,The Guardian,,Nicholas Sparks,Fiction,2005,4.15,400,144654
9780141441160.00,,English,Penguin Books,1.76,A Passage to India,,Edward Morgan Forster;Pankaj Mishra,Fiction,2005,3.68,376,53972
9780060572969.00,The Hollows #1,English,HarperTorch,3.8,Dead Witch Walking,,Kim Harrison,Fiction,2004,4.04,416,97105
9780312151256.00,,English,St. Martin's Griffin,5.39,The Far Pavilions,,M. M. Kaye,Fiction,1997,4.21,958,36300
9780446611084.00,,English,Vision,3.02,Suzanne's Diary for Nicholas,,James Patterson,Fiction,2003,4.16,289,128191
9781406914832.00,,English,Hard Press,5.31,A Doll's House,,Henrik Ibsen,Performing Arts,2007,3.71,122,80050
9780060589288.00,,English,HarperOne,4.72,Eleven Minutes,A Novel,Paulo Coelho,Fiction,2005,3.69,273,114826
9780307275554.00,The Devil Wears Prada #1,English,Anchor Books,2.94,The Devil Wears Prada,,Lauren Weisberger,Fiction,2006,3.73,432,723487
9780060515195.00,American Gods #2.0,English,HarperCollins HarperTorch,5.69,Anansi Boys,,Neil Gaiman,Fiction,2006,4.02,387,153485
